Rings_comb,sex,migratory_status,banding_date,Age_at_Banding,comments
XB,F,,,P,only one band on the left leg
RBBG,F,,18/10/2021,A,
RBBL,F,,01/12/2018,A,
RBBO,F,M,08/11/2021,A,Deceased
RBBR,M,M,01/12/2018,A,
RBBW,M,,08/11/2021,A,
RBBY,F,,04/12/2018,P,
RBGB,F,,04/12/2021,A,
RBGG,N,,16/12/2021,P,chick
RBGO,F,,12/01/2022,P,
RBGR,F,,29/12/2021,A,
RBGW,F,,14/01/2022,P,
RBGY,F,,15/01/2022,P,
RBLB_F,M,R,09/02/2016,P,
RBLY,F,,14/09/2016,A,
RBLY_F,F,,14/09/2016,A,
RBOB,M,,29/09/2022,A,
RBOG,F,R,30/09/2022,A,
RBOO,M,,11/10/2022,A,
RBOR,F,,01/10/2022,A,
RBOY,M,M,28/10/2022,A,
RBRB,F,R,04/12/2018,P,
RBRL,F,M,12/12/2018,P,
RBRO,F,,29/09/2022,A,
RBRW,F,,29/09/2022,A,
RBRY,F,,22/12/2018,P,
RBWG,F,,28/10/2022,A,
RBWO,F,,09/11/2022,A,
RBWR,M,,28/10/2022,A,
RBWW,F,,10/11/2022,A,
RBWY,F,,12/11/2022,P,
RBYG,N,,12/11/2022,P,chick
RBYW,F,,12/11/2022,A,
RGBO,F,,12/11/2022,A,
RGBR,M,R,12/11/2022,A,
RGBW,F,,12/11/2022,A,
RGGB,M,,20/11/2022,A,
RGGG,F,R,20/11/2022,A,
RGGL,F,R,26/11/2020,A,
RGGO,N,,07/11/2022,P,chick
RGGW,F,,09/12/2022,P,
RGGY,M,,09/12/2022,P,
RGOB,F,,09/12/2022,P,
RGOG,N,,09/12/2022,P,chick
RGOO,F,,09/12/2022,P,
RGOW,F,R,19/10/2023,A,
RGRB,N,,09/12/2022,P,chick
RGWB,M,,26/11/2023,A,
RGWG,F,,26/11/2023,A,
RGWO,F,,26/11/2023,A,
RGWW,M,,30/08/2024,A,
RLBR_F,F,,11/01/2017,P,
RLBY_F,M,,13/11/2016,A,
RLYL_F,F,R,18/11/2018,A,
RLYR,M,,18/11/2018,A,
RLYY,M,R,27/10/2018,P,
RORB,M,,27/10/2018,P,
RRBB,F,,27/12/2018,A,
RRBG,F,,13/10/2021,A,
RRBR,M,,07/02/2019,P,
RRBW,M,,13/10/2021,A,
RRBY,F,,07/02/2019,P,
RRGB,M,,08/10/2021,A,
RRGG,F,,12/10/2021,A,
RRGO,M,R,13/10/2021,A,
RRGW,N,,13/10/2021,P,Gooch pullet
RRGY,M,,08/10/2021,A,
RRLB,F,,27/10/2018,P,
RRLL,M,,04/01/2018,P,Assume deceased
RRLR_F,M,,04/01/2018,P,
RRLY,M,,25/10/2017,A,
RROB_L,F,,02/10/2021,A,metal on left
RROB_R,M,,27/10/2022,A,metal on right
RROG,M,,27/10/2022,A,
RROO,F,,02/10/2021,A,
RROW,M,,27/10/2022,A,
RROY,M,,07/10/2021,A,
RRRB,M,,26/10/2019,P,
RRRG,M,,08/10/2021,A,Deceased
RRRO,F,R,13/10/2021,A,
RRRR,F,R,16/11/2019,P,
RRRW,F,,10/10/2021,A,
RRWB,F,R,10/10/2021,A,
RRWG,F,,07/10/2021,A,
RRWR,F,R,13/10/2021,A,
RRWW,M,,03/10/2021,A,
RRWY,M,,04/10/2021,A,
RRYO,M,R,06/10/2021,A,
RRYR,F,,06/10/2021,A,
RRYW,M,,07/10/2021,A,
RRYY,F,R,26/09/2017,A,
RRYY_F,F,,26/09/2017,A,
RWBB,F,,12/09/2020,A,
RWBG,M,,03/10/2020,A,
RWBL,F,,13/09/2020,A,
RWBY,F,R,20/09/2020,A,
RWLB,F,,04/10/2020,A,
RWLG,F,,04/10/2020,A,
RWLY,M,M,05/10/2020,A,
RWOO,F,,14/10/2021,A,
RWRR,F,,07/10/2021,A,
RWWB,F,,26/11/2020,A,
RWWG,M,,12/01/2021,P,
RYBB_F,M,,03/11/2015,P,
RYBR_F,F,,26/10/2015,A,
RYBW,M,,28/10/2022,A,
RYLR,F,,27/12/2019,P,
RYLY,F,,27/12/2019,P,
RYRB,F,,27/12/2019,P,
RYYY_F,F,,28/09/2016,A,Deceased
XW,N,,24/10/2021,P,"chick, only one band on left"
YRRR,F,R,25/01/2018,P,Combo was supposed to be RRYR banded as pullet
